nar_adc_id	canonical_name	phase_bucket	drug_status	brand_name	synonyms	development_codes	antigen_name	payload_moa_target	antibody_name	payload_name	linker_name	indications	companies	reference_count	reference_dois	nct_ids
DRG0TJYIW	ORM-6151	Phase3	Phase 3		ORM 6151; ORM6151		Myeloid cell surface antigen CD33 (CD33)	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (GSPT1) Conjugate Type Undisclosed	OR000283	SMol006		Acute myeloid leukaemia; Phase 3 Clinical Trial Drug-to-Antibody Ratio 4	Orum Therapeutics, Inc	0		
DRG0TKVCB	Loncastuximab tesirine	Approved	Approved (FDA):Apr, 2021	Zynlonta	ADCT 402; ADCT-402; MT-2111; Anti-CD19-PBD-conjugate-ADC; Immunoglobulin g1-kappa; Lonca; Lonca-T; loncastuximab tesirine-lpyl		B-lymphocyte antigen CD19 (CD19)	Human Deoxyribonucleic acid (hDNA)	Loncastuximab	SG3199	Mal-PEG8-Val-Ala-PABC	Diffuse large B-cell lymphoma; Approved Approval Document Follicular lymphoma; Phase 2 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 2 Clinical Trial Acute lymphoblastic leukemia; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2.3 3D	ADC Therapeutics SA; BSP Pharmaceuticals SpA; Overland Pharmaceutical (Shanghai) Co., Ltd	5		NCT02669017; NCT02669264; NCT03589469
DRG0TMDEU	AMT-754	Phase1	Phase 1						Ab-754	Exatecan	T1000	Unspecific solid tumor		0		NCT06597721
DRG0TMDKY	AOC 1044	Investigative	Investigative		Antibody-targeted exon-skipping siRNA (Avidity Biosciences); Antibody-targeted exon-skipping siRNA (Avidity Biosciences)		Dystrophin (DMD)		Undisclosed	Undisclosed	Undisclosed	Duchenne muscular dystrophy Clinical candidate Muscular dystrophy Clinical candidate	Avidity Biosciences, Inc	0		
DRG0TMPMK	PHN-010	Phase1	Phase 1		PHN 010; PHN-010; PHN010		Undisclosed	DNA topoisomerase 1 (TOP1)	Undisclosed	DNA topoisomerase-I inhibitor	Undisclosed Conjugate Type Undisclosed	Cervical cancer; Phase 1 Clinical Trial Colorectal cancer; Phase 1 Clinical Trial Endometrial cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Ovarian cancer; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 8	Pheon Therapeutics Ltd	0		
DRG0TNQTB	DXC1002	Phase1	Phase 1						Undisclosed	CPT113		Solid tumor		0		
DRG0TOMLD	GB7008-01-Val-Cit-MMAE	Investigative	Investigative		Anti-CLDN6 antibody drug conjugate (cancer); GB-7008-01 vcMMAE		Claudin-6 (CLDN6)	Microtubule (MT)	GB7008-01	Monomethyl auristatin E	Mc-Val-Cit-PABC	Ovarian cancer Clinical candidate Drug-to-Antibody Ratio 4 3D	Shanghai Genechem Co., Ltd	0		
DRG0TPQUN	9MW-2821	Phase2	Phase 1/2		9MW 2821; 9MW-2821; 9MW2821		Nectin-4 (NECTIN4)	Microtubule (MT)	Bulumtatug	Monomethyl auristatin E	IDM-Val-Cit-PBCA	Cervical cancer; Phase 3 Clinical Trial Urothelial cancer; Phase 3 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio 4 3D	Jiangsu Maiweikang New Drug R & D Co., Ltd; Mabwell (Shanghai) Bioscience Co., Ltd	0		
DRG0TSLDF	SHR-A1921	Phase2	Phase 2		SHR A1921; SHR-A1921; SHRA1921; SHR-1921; SHR 1921; SHR1921		Tumor-associated calcium signal transducer 2 (TROP2)	DNA topoisomerase 1 (TOP1)	Tizetatug	SHR9265	Mc-Gly-Gly-Phe-Gly	Ovarian cancer; Phase 3 Clinical Trial Breast cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Oral cavity cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	Suzhou Suncadia Biopharmaceuticals Co., Ltd; Shanghai Hengrui Pharmaceutical Co., Ltd	3		NCT05154604; NCT05594875; NCT05765032
DRG0TTTUA	SHR-A2009	Phase3	Phase 3		SHR A2009; SHR-A2009; SHRA2009		Receptor tyrosine-protein kinase erbB-3 (HER3)	DNA topoisomerase 1 (TOP1)	Ruzaltatug	9106-IM-2	Mc-Gly-Gly-Phe-Gly	Lung cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4	Suzhou Suncadia Biopharmaceuticals Co., Ltd	2		NCT05114759; NCT05394818
DRG0TUKTY	PRO-1184	Phase3	Phase 3						Rinatabart	Exatecan	Cys-11 ADC linker	Ovarian cancer		0		
DRG0TWLXC	SBT-6290	Phase2	Phase 1/2 (Terminated)		SBT 6290; SBT-6290; SBT6290		Nectin-4 (NECTIN4)	Toll-like receptor 8 (TLR8)	Undisclosed	TLR8 agonist	Undisclosed Conjugate Type Undisclosed	Breast cancer; Phase 2 Clinical Trial Head and neck cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Urothelial cancer; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Silverback Therapeutics, Inc; ARS Pharmaceuticals, Inc	0		
DRG0TZVTS	SYS6040	Phase1	Phase 1						Anti-DLL3 antibody	Undisclosed	A cleavable linker	Lung cancer		0		NCT06970795
DRG0TZZNJ	Mipasetamab uzoptirine	Phase1	Phase 1		ADCT 601; ADCT-601; ADCT601; BGB 601; BGB-601; BGB601; Mipasetamab uzoptirine		Tyrosine-protein kinase receptor UFO (AXL)	Human Deoxyribonucleic acid (hDNA)	Mipasetamab	SG3199	BCN-HydraSpace-Val-Ala-PABC	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	ADC Therapeutics SA; Overland Pharmaceutical (Shanghai) Co., Ltd	1		
DRG0UBSWW	SIM0610	Phase1	Phase 1						A bispecific anti-EGFR/c-Met bsAb	TOP1 inhibitor	A cleavable hydrophilic linker	Colorectal cancer		0		NCT07348211
DRG0UCTSX	RG-7600	Phase1	Phase 1						Humanized IgG1 anti-MSLN mAb h7D9.v3	Monomethyl auristatin E	Protease-labile valine-citrulline linker			0		
DRG0UEGSE	33B7-Saporin	Investigative	Investigative		Anti-PTGFRN antibody-drug conjugate (A&G Pharmaceutical); Anti-PTGFRN antibody-drug conjugate		Prostaglandin F2 receptor negative regulator (PTGFRN)	Microtubule (MT)	Anti-PTGFRN mAb 33B7	Saporin	Undisclosed Conjugate Type Saporin conjugated to the Fc region of 33B7.	Brain medulloblastoma Clinical candidate Pleural mesothelioma Clinical candidate	A&G Pharmaceutical, Inc	0		
DRG0UEVLW	TGW101	Phase1	Phase 1						Anti-TAG-72 antibody	MMAE	A cleavable linker	Oesophageal cancer		0		NCT06959706
DRG0UFAIG	SBE303	Phase1	Phase 1						Anti-Nectin-4 antibody	TOP1 inhibitor	Self-immolative OHPAS linker	Unspecific solid tumor		0		NCT07524348
DRG0UFZLI	NBE-001	Investigative	Investigative		NBE 001; NBE001		Undisclosed		Undisclosed	Undisclosed	Undisclosed Conjugate Type Site-specific SMAC-conjugation.	Multiple myeloma Clinical candidate	NBE-Therapeutics AG	0		
DRG0UGQRX	Enlimomab pegol	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0UHEOR	HS-20089	Phase3	Phase 3		HS 20089; HS-20089; HS20089		V-set domain-containing T-cell activation inhibitor 1 (VTCN1)	DNA topoisomerase 1 (TOP1)	Undisclosed	DNA topoisomerase-I inhibitor	Undisclosed Conjugate Type Undisclosed General Information of The Activity Data 	Ovarian cancer; Phase 3 Clinical Trial Endometrial cancer; Phase 2 Clinical Trial Fallopian tube cancer; Phase 2 Clinical Trial Peritoneal cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 6	Shanghai Hansoh Biomedical Co. Ltd	1		NCT05263479
DRG0UHUMZ	IBI-354	Phase3	Phase 3		IBI 354; IBI-354; IBI354		Receptor tyrosine-protein kinase erbB-2 (HER2)	DNA topoisomerase 1 (TOP1)	Trastuzumab	DX-8951 derivative (DXd)	"PODS-CHX-A""-DTPA"	Fallopian tube cancer; Phase 3 Clinical Trial Ovarian cancer; Phase 3 Clinical Trial Peritoneal cancer; Phase 3 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Innovent Biologics (Suzhou) Co. Ltd	0		
DRG0UHXQK	SYS6041	Phase1	Phase 1						A anti-FRα mAb	Exatecan	A cleavable linker	Unspecific solid tumor		0		
DRG0UIDCY	NJH-395	Phase1	Phase 1 (Terminated)		Immune stimulator antibody conjugate; NJH 395; NJH-395; NJH395		Receptor tyrosine-protein kinase erbB-2 (HER2)	Toll-like receptor 7 (TLR7)	Anti-HER2 NJH395 mAb	Tolllike receptor 7 agonist	Noncleavable linker	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Novartis Pharma AG	1	10.1158/1078-0432.CCR-18-3965.	NCT03696771
DRG0UIZFH	XB3-001	Investigative	Investigative		Melanotransferrin-trastuzumab conjugate (biOasis); MTf-TZM; MTfp-TZM; p97-trastuzumab conjugate (T)		Receptor tyrosine-protein kinase erbB-2 (HER2)		Undisclosed	Undisclosed	Undisclosed	Brain cancer Clinical candidate Glioblastoma Clinical candidate	Bioasis Technologies, Inc	0		
DRG0UJALJ	MSLN MMAE	Investigative	Investigative		MSLNMMAE; MSLN MMAE (Anwita Biosciences); MSLN-MMAE		Mesothelin (MSLN)	Microtubule (MT)	Undisclosed	Monomethyl auristatin E	Undisclosed	Pancreatic cancer Clinical candidate Platinum resistant ovarian cancer Clinical candidate 3D	Anwita Biosciences, Inc	0		
DRG0UJMPA	BA-1302	Phase1	Phase 1		BA 1302; BA-1302; BA1302		Melanotransferrin (MELTF)	Microtubule (MT) Conjugate Type Undisclosed Combination Type BNLD11	Undisclosed	Monomethyl auristatin E		Breast cancer; Phase 1 Clinical Trial Lung cancer; Phase 1 Clinical Trial Melanoma; Phase 1 Clinical Trial Pancreatic cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	Shandong Boan Biotechnology Co., Ltd; Luye Pharma Group Ltd	0		
DRG0UJUZQ	GQ-1007	Phase1	Phase 1 (Terminated)		GQ 1007; GQ-1007; GQ1007		Receptor tyrosine-protein kinase erbB-2 (HER2)	Toll-like receptor 7 (TLR7); Toll-like receptor 8 (TLR8) Conjugate Type Undisclosed	Undisclosed	TLR7/8 agonist		Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	GeneQuantum Healthcare (Suzhou) Co. Ltd; Borui Biomedical Technology (Suzhou) Co., Ltd	0		
DRG0ULCEQ	Rovalpituzumab tesirine	Phase3	Phase 3 (Terminated)		P256HB60FF; Rova-T; Rovalpituzumab tesirine; SC-0002; SC0001-SCX; SC0001SCX; SC16LD6.5		Delta-like protein 3 (DLL3)	Human Deoxyribonucleic acid (hDNA)	Rovalpituzumab	SG3199	Mal-PEG8-Val-Ala-PABC	Lung cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio 2 3D	AbbVie, Inc	6		NCT02674568; NCT02709889; NCT02819999; NCT03000257; NCT03033511
DRG0ULJQN	OBT207	Investigative	Investigative		OBT-207; OBT 207		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Oxford BioTherapeutics Ltd	0		
DRG0UPZCS	MGC026	Phase1	Phase 1						Vobramitamab	Exatecan	Bicyclononyne carbamoyl sulfamide Val-Ala-PABC	Unspecific solid tumor		0		NCT06242470
DRG0UQTJG	Lifastuzumab vedotin	Phase2	Phase 2 (Terminated)		Anti-NaPi2b ADC; DNIB-0600A; DNIB0600A; LIFA; Lifastuzumab vedotin; NaPi2b-ADC; NaPi3b; RG-7599; RG7599, DNIB-0600A; RO-5541081		Sodium-dependent phosphate transport protein 2B (SLC34A2)	Microtubule (MT)	Lifastuzumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Fallopian tube cancer; Phase 2 Clinical Trial Peritoneal cancer; Phase 2 Clinical Trial Lung cancer; Phase 1 Clinical Trial Ovarian cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	Genentech, Inc; Roche Holding AG; Roche Holding AG	7		NCT01363947; NCT01911598; NCT01991210; NCT01995188
DRG0UQXWB	BI-CON-02	Phase1	Phase 1 (Terminated)		BI-CON-02; BI CON 02; BICON02		Receptor tyrosine-protein kinase erbB-2 (HER2)		Trastuzumab	Undisclosed	Undisclosed Conjugate Type Undisclosed General Information of The Activity Data 	Breast cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	BioIntegrator LLC	1		NCT03062007
DRG0USADY	DXC004	Phase1	Phase 1						Nimotuzumab derivative	Tubulysin B analog	Undisclosed	Unspecific solid tumor		0		
DRG0USIEY	DA-3501	Phase1	Phase 1						Anti-CLDN18.2 antibody	Undisclosed	Undisclosed	Gastroesophageal junction adenocarcinoma		0		NCT07481357
DRG0USILO	TAC-001	Phase2	Phase 1/2		CD22 targeting TRAAC-Tallac Therapeutics; TAAC-001; TAC 001; TAC-001		B-cell receptor CD22 (CD22)	Toll-like receptor 9 (TLR9)	Mozistobart	Differentiated TLR-9 agonist (T-CpG)	Undisclosed Conjugate Type Undisclosed Combination Type zoratolimod General Info	Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Tallac Therapeutics, Inc	1		NCT05399654
DRG0UTRTT	<sup>124</sup>I-scFvD2B	Investigative	Investigative						Anti-PSMA scFv	Iodine I-124	Undisclosed	Prostate cancer		0		
DRG0UTYGF	Trastuzumab-deBouganin	Investigative	Investigative		Anti-HER2 single-chain Fv dimer-deBouganin ADC (Sesen Bio/AviPep); T-deB		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	Trastuzumab	DeBouganin	Undisclosed	Breast cancer Clinical candidate	Viventia Bio, Inc; Avipep Pty Ltd; Sesen Bio, Inc	0		
DRG0UUEEH	SC-002	Phase1	Phase 1 (Terminated)		SC 002; SC-002; SC002		Delta-like protein 3 (DLL3)	Human Deoxyribonucleic acid (hDNA) Conjugate Type Undisclosed TTD ID D0D4OL ChEBI ID CHEMBL3990011 General Information of The Activity Data Related to This ADC Identified from the Human Clinical Data Standard Type NCT Number Clinical Status Clinical Trial Description Objective Response Rate (ORR) NCT02500914 Phase 1a/1b A phase 1a/1b dose escalation and expansion study of single-agent SC-002 in subjects with relapsed or refractory small cell lung cancer and large cell neuroendocrine carcinoma. Undisclosed NCT02500914 Phase 1 A phase 1a/1b dose escalation and expansion study of single-agent SC-002 in subjects with relapsed or refractory small cell lung cancer and large cell neuroendocrine carcinoma. Full List of Activity Data of This Antibody-drug Conjugate Identified from the Human Clinical Data Experiment 1 Reporting the Activity Date of This ADC [ 1 ] Efficacy Data Objective Response Rate (ORR) 14.29% Patients Enrolled Small-cell lung cancer (either limited or extensive disease) or large cell neuroendocrine carcinoma that had relapsed or was refractory to treatment following 1 prior systemic chemotherapy and for which no curative therapy was available were eligible for the phase 1a dose-escalation. Administration Dosage 7 dose levels (0.025-0.40 mg/kg), 3+3 design. Related Clinical Trial NCT Number NCT02500914 Clinical Status Phase 1a/1b Clinical Description A phase 1a/1b dose escalation and expansion study of single-agent SC-002 in subjects with relapsed or refractory small cell lung cancer and large cell neuroendocrine carcinoma. Primary Endpoint All patients (N = 35) were included in response analyses. Five patients (14.29%) overall achieved a PR per investigator assessment,with no patients achieving a CR. One patient each had a PR in the 0.20 and 0.30 mg/kg Q3W dose groups, and 3 patients in the 0.40 mg/kg Q9W dose group, fourteen (40.00%) patients achieved stable disease as their best overall response,and 5 had no or an non-evaluable posttreatment scan. Other Endpoint Nineteen patients had tumor samples that were able to be assessed for DLL3 expression by immunohistochemistry. DLL3-positive expression by immunohistochemistry (DLL3 >0%) was confirmed in 17 patients; 5 were DLL3 high (75.00% DLL3 positive cells). Of DLL3-positive patients, 2 (11.80%) achieved a PR, including 1 patient in the 0.20 mg/kg Q3W cohort and 1 DLL3-high patient in the 0.40 mg/kg Q9W cohort. Experiment 2 Reporting the Activity Date of This ADC [ 2 ] Related Clinical Trial NCT Number NCT02500914 Clinical Status Phase 1 Clinical Description A phase 1a/1b dose escalation and expansion study of single-agent SC-002 in subjects with relapsed or refractory small cell lung cancer and large cell neuroendocrine carcinoma. References Ref 1 SC-002 in patients with relapsed or refractory small cell lung cancer and large cell neuroendocrine carcinoma: Phase 1 study. Lung Cancer. 2020 Jul;145:126-131. Ref 2 A Phase 1a/1b Dose Escalation and Expansion Study of Single-agent SC-002 in Subjects With Relapsed or Refractory Small Cell Lung Cancer and Large Cell Neuroendocrine Carcinoma, NCT02500914	Rovalpituzumab	SG3199		Lung cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	Stemcentrx, Inc; AbbVie, Inc	2		NCT02500914
DRG0UUFIR	SYD998	Investigative	Investigative		WO2015177360A1_ADC-wt; SYD 998; SYD-998		Glutamate carboxypeptidase 2 (FOLH1)	Human Deoxyribonucleic acid (hDNA)	Anti-PSMA mAb wt	seco-DUBA	Mal-PEG2-Val-Cit-PABA-Cyclization Spacer	Prostate cancer; Investigative Drug-to-Antibody Ratio 1.8 3D	Byodes Private Ltd	1		
DRG0UUOGO	TORL-2-307-ADC	Phase1	Phase 1		TORL-2-307 ADC; TORL-2-307- ADC; TORL-2-307- ADC, TORL-2-307-MAB; TORL-2-307-ADC; TORL-2-307-MAB		Claudin-18.2 (CLDN18.2)	Microtubule (MT) Conjugate Type Undisclosed General Information of The Activity Data Related to This ADC Identified from the Human Clinical Data Standard Type NCT Number Clinical Status Clinical Trial Description Undisclosed NCT05156866 Phase 1 A phase 1, first in human, dose-escalation study of TORL-2-307-ADC in participants with advanced cancer. Full List of Activity Data of This Antibody-drug Conjugate Identified from the Human Clinical Data Experiment 1 Reporting the Activity Date of This ADC [ 1 ] Related Clinical Trial NCT Number NCT05156866 Clinical Status Phase 1 Clinical Description A phase 1, first in human, dose-escalation study of TORL-2-307-ADC in participants with advanced cancer. References Ref 1 A Phase 1, First in Human, Dose-Escalation Study of TORL-2-307-ADC in Participants With Advanced Cancer	Undisclosed	Monomethyl auristatin E		Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	TORL Biotherapeutics LLC	1		NCT05156866
DRG0UVYLY	SYS6005	Phase1	Phase 1						anti-ROR1 Fc-silenced mAb	MMAE	A cleavable linker	Unspecific solid tumor		0		NCT06958679
DRG0UWYXJ	ALTA-002	Phase1	Phase 1		ALTA 002; ALTA-002; Anti-SIRPa antibody conjugated toll-like receptor 9 agonists-ALX Oncology/Tallac Therapeutics; TAC002		Leukocyte surface antigen CD47 (CD47)	Toll-like receptor 9 (TLR9)	Anti-CD47 ALTA-002 mAb	Differentiated TLR-9 agonist (T-CpG)	Undisclosed Conjugate Type Undisclosed	Solid tumor Phase 1 Related Report Drug-to-Antibody Ratio Undisclosed	ALX Oncology, Inc; Tallac Therapeutics, Inc	0		
DRG0UYIOG	YL-212	Investigative	Investigative		YL212; YL 212		Delta-like protein 3 (DLL3)		Undisclosed	Undisclosed	Undisclosed Conjugate Type MediLinks proprietary TAMLIN platform.	Small cell lung cancer Clinical candidate	Suzhou Medilink Therapeutics Ltd; Zai Lab Ltd	0		
DRG0UZQBB	NOV0712-DXd	Investigative	Investigative		NOV0712 DXd		Cadherin-6 (CDH6)	DNA topoisomerase 1 (TOP1)	Anti-CDH6 mAb NOV0712	DX-8951 derivative (DXd)	Mc-Gly-Gly-Phe-Gly	Ovarian cancer; Investigative Renal cell carcinoma; Investigative Drug-to-Antibody Ratio 7.8 3D	Daiichi Sankyo Co., Ltd	1		
DRG0VFBIW	AMG-224	Phase1	Phase 1 (Terminated)		AMG 224; AMG-224; AMG22 4; AMG224		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Microtubule (MT) Conjugate Type Undisclosed Puchem SID 472418778 , 440234651 ChEBI ID CHEMBL4594520 General Information of The Activity Data Related to This ADC Identified from the Human Clinical Data Standard Type NCT Number Clinical Status Clinical Trial Description Objective Response Rate (ORR) NCT02561962 Phase 1 A phase 1 first in human study evaluating the safety, tolerability, pharmacokinetics and pharmacodynamics of AMG 224 in subjects with relapsed or refractory multiple myeloma. Undisclosed NCT02561962 Phase 1 A phase 1 first in human study evaluating the safety, tolerability, pharmacokinetics and pharmacodynamics of AMG 224 in subjects with relapsed or refractory multiple myeloma. Full List of Activity Data of This Antibody-drug Conjugate Identified from the Human Clinical Data Experiment 1 Reporting the Activity Date of This ADC [ 1 ] Efficacy Data Objective Response Rate (ORR) 23.00% (heavily pretreated population of patients with R/R MM with a median of seven lines of prior therapy) 60.00% (in a phase 1 trial of GSK2857916) Patients Enrolled Relapsed or refractory (R/R) multiple myeloma (MM). Administration Dosage Every 3 weeks (Q3W) at prespecified doses of 30-300 mg in a 3+3 design. Related Clinical Trial NCT Number NCT02561962 Clinical Status Phase 1 Clinical Description A phase 1 first in human study evaluating the safety, tolerability, pharmacokinetics and pharmacodynamics of AMG 224 in subjects with relapsed or refractory multiple myeloma. Primary Endpoint AmG 224 was generally well tolerated up to 190 mg Q3W. Other Endpoint ORR=23.00% (95% CI,11.00-39.00%), including six responses in dose escalation and three responses in the dose expansion. Two (5.00%) patients were CR and 7 (18.00%) patients were PR. Experiment 2 Reporting the Activity Date of This ADC [ 2 ] Related Clinical Trial NCT Number NCT02561962 Clinical Status Phase 1 Clinical Description A phase 1 first in human study evaluating the safety, tolerability, pharmacokinetics and pharmacodynamics of AMG 224 in subjects with relapsed or refractory multiple myeloma. References Ref 1 Phase 1 study of the anti-BCMA antibody-drug conjugate AMG 224 in patients with relapsed/refractory multiple myeloma. Leukemia. 2021 Jan;35(1):255-258. Ref 2 A Phase 1 First in Human Study Evaluating the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of AMG 224 in Subjects With Relapsed or Refractory Multiple Myeloma, NCT02561962	Anti-human BCMA IgG1 Anti-ody	Mertansine DM1		Multiple myeloma; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Amgen, Inc	2		NCT02561962
DRG0VFEIE	BR111	Phase1	Phase 1						A anti-ROR1 mAb	Eribulin	Undisclosed	Unspecific solid tumor		0		NCT06937957
DRG0VFTUI	LY256787	Phase1	Phase 1						KS1/4	4-desacetylvinblastine (DAVLB)	A cleavable linker	Unspecific solid tumor		0		
DRG0VGXGH	CD4-BFFI	Investigative	Investigative		AntiCD mAb 6314+T561; CD4 BFFI; CD4BFFI		T-cell surface glycoprotein CD4 (CD4)	Envelope glycoprotein gp160 (env)	Anti-CD4 mAb 6314	T-651 similar fusion inhibitor	Undisclosed TTD ID D0D9KK	HIV Infection Clinical candidate	Roche Holding AG	0		
DRG0VHHWJ	OBI-998	Investigative	Investigative		OBI 998; OBI998		Stage-specific embryonic antigen-4 (SSEA-4)	Microtubule (MT)	OBI-898	Monomethyl auristatin E	Maleimide and PEGylated cleavable linker Info	Non-small cell lung cancer Clinical candidate 3D	OBI Pharma, Inc	0		
DRG0VHRBL	RC-88	Phase2	Phase 1/2		RC 88; RC-88; RC-88 ADC; RC88		Mesothelin (MSLN)	Microtubule (MT)	Misitatug	Monomethyl auristatin E	Mc-Val-Cit-PABC	Breast cancer; Phase 2 Clinical Trial Fallopian tube cancer; Phase 2 Clinical Trial Gastric cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Ovarian cancer; Phase 2 Clinical Trial Pancreatic cancer; Phase 2 Clinical Trial Peritoneal cancer; Phase 2 Clinical Trial Pleura mesothelioma; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	RemeGen Co., Ltd	3		NCT04175847; NCT05508334
DRG0VHVOA	TUB-030	Phase2	Phase 1/2		TUB 030; TUB-030; TUB030		Trophoblast glycoprotein (TPBG)	DNA topoisomerase 1 (TOP1) Conjugate Type Undisclosed Combination Type tubutecan	Undisclosed	Exatecan		Breast cancer; Phase 2 Clinical Trial Colorectal cancer; Phase 2 Clinical Trial Head and neck cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio 8 3D	Tubulis GmbH	0		
DRG0VHXYA	GQ-1005	Phase3	Phase 3		GQ 1005; GQ-1005; GQ1005		Receptor tyrosine-protein kinase erbB-2 (HER2)	DNA topoisomerase 1 (TOP1) Conjugate Type Undisclosed	Undisclosed	DX-8951 derivative (DXd)		Breast cancer; Phase 3 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	GeneQuantum Healthcare (Suzhou) Co. Ltd	0		
DRG0VIMVV	ALX2004	Phase1	Phase 1						Anti-EGFR antibody	TOP1 inhibitor	Undisclosed	Oesophageal cancer		0		NCT07085091
DRG0VIUMF	M-9140	Phase2	Phase 1/2		M 9140; M-9140; M9140		Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	DNA topoisomerase 1 (TOP1)	Undisclosed	Exatecan	Mal-glucuronide-PABC	Gastric cancer; Phase 2 Clinical Trial Lung cancer; Phase 2 Clinical Trial Pancreatic cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Colorectal cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 8 3D	Merck KGaA; EMD Serono Research & Development Institute, Inc	0		
DRG0VJOET	Moxetumomab pasudotox	Approved	Approved (FDA): Sep, 2018	Lumoxiti	HA22; CAT- 8015; GCR-8015; R490A		B-cell receptor CD22 (CD22)	Eukaryotic elongation factor 2 (EEF2)	Moxetumomab	Pseudomonas exotoxin PE38	Mc-Val-Cit-PABC	Hairy cell leukemia; Approved Approval Document Acute lymphoblastic leukemia; Phase 2 Clinical Trial Chronic lymphocytic leukemia; Phase 2 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 2 Clinical Trial Prolymphocytic leukemia; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	AstraZeneca PLC	7		NCT00462189; NCT00586924; NCT00659425; NCT01829711; NCT01891981; NCT02227108
DRG0VJROY	SGN-B6A	Phase3	Phase 3		PF-08046047; SGN-B6A; SGNB6A; Sigvotatug Vedotin; humanized IgG1 beta-6 monoclonal antibody conjugated to monomethyl auristatin E		Integrin beta-6 (ITGB6)	Microtubule (MT)	Sigvotatug	Monomethyl auristatin E	Mc-Val-Cit-PABC	Lung cancer; Phase 3 Clinical Trial Gastric cancer; Phase 1 Clinical Trial Head and neck cancer; Phase 1 Clinical Trial Oesophageal cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 4 3D	Seagen Inc	1		NCT04389632
DRG0VKEZC	BL-M005	Investigative	Investigative		BLM005; BL M005		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Breast cancer Clinical candidate Non-small cell lung cancer Clinical candidate	Sichuan Biokin Pharmaceutical Co., Ltd	0		
DRG0VNZZZ	PF-06688992	Phase1	Phase 1 (Terminated)		GD3 ADC; PF 06688992; PF-06688992; PF06688992		Ganglioside GD3	Unclear	Undisclosed	PF-06464368	Undisclosed Conjugate Type Undisclosed Puchem SID 402426011 , 472420097 , 440234	Melanoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Pfizer Inc; Memorial Sloan-Kettering Cancer Center	1		NCT03159117
DRG0VOIMW	BSI-709	Investigative	Investigative		BSI 709; BSI709		Cadherin-6 (CDH6)		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate	Biosion, Inc; ImmunoGen, Inc	0		
